"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Pocoyo in cinemas: Your First Movie","Alfonso Rodríguez","","","",2018,"ALL","50 min","Animation, Kids","The world is in danger and only Pocoyo and the Super Friends can save us! Nina, Pato and Elly will have to work as a team and overcome their fears to defeat a villain who threatens the peace of the Pocoyo World. Will they get out of this mess? But that is not all! Get ready to live funny stories, dance, sing and learn with Pocoyo!"
"Pocket full of game","David Holley, Deborah Cardona","Katherine K Nunez, Carlos Garcia, Joey Ortiz, David Holley","","",2020,"18+","125 min","Action, Romance","Porsha Garcia is a female huster who as it all Money ,beauty, respect. She earned it all by being loyal and respecting the code of the streets. A chance encounter with a stick up kid named Fresh introduces her to a whole new world."
"Playtime with Mila and Morphle","Arthur van Merwijk","","","",2019,"ALL","43 min","Animation, Kids","In this compilation of My Magic Pet Morphle cartoon, join Mila and Morphle as they go on magical adventures during their playtime with their friends!"
"Planet Of The Humans","Jeff Gibbs","Al Gore, Bill McKibben, Richard Branson, Robert F. Kennedy Jr., Michael Bloomberg, Van Jones, Vinod Khosla, Vandana Shiva, Ozzie Zehner, Steven Running, Nina Jablonski, Stephen Churchill, Sheldon Solomon","","",2020,"13+","100 min","Documentary, Special Interest","""Planet of the Humans"" dares to say what no one will-that we are losing the battle to stop climate change by following leaders who have taken us down the wrong road-selling out the green movement to bankers and billionaires. This urgent, must-see movie is guaranteed to generate anger, debate, and, hopefully, a willingness to see our survival in a new way-before it's too late."
"Pit Stop","Yen Tan","Bill Heck, Marcus DeAnda, Amy Seimetz","","",2014,"18+","81 min","LGBTQ, Romance","In this compelling drama, openly gay Ernesto and closeted Gabe grapple with the sad tribulations of being gay in a small, working-class Texas town. Reminiscent of such classic rural gay love stories as ""Big Eden"" and ""Brokeback Mountain,"" this festival hit is an uplifting love story about male intimacy, the heartache of unsuccessful relationships, and the transformative power of love."
"Pinkfong! Dinosaur Friends","Pinkfong","","","",2017,"ALL","67 min","Animation, Kids","The ultimate collection of musical stories about kids' favorite dinosaurs is here! Join our dinosaur friends in their adventures to see the ferocious T-Rex or the chatty Pteranodon and many more. This compilation of musical stories combines familiar tunes with entertaining stories to cater to all the curious little explorers."
"Pink Heat","Sean LaFollette","Jordan Burgess, Adam Joseph Lopez, Joey Catalano, James Howey, Nick Catalano, Henry Frost III","United States","",2017,"16+","78 min","Action, Suspense","For her birthday this year, Elizabeth has been given two pink pistols and a reason to use them when a gang of vicious criminals murders her grandfather in cold blood. Packing her trusted pink heat, Elizabeth sets out to avenge her family, leaving a trail of bullet-riddled bodies in her wake."
"Petunia","Ash Christian","Thora Birch, Brittany Snow, Eddie Kaye Thomas, Christine Lahti, Michael Urie, Tobias Segal, David Rasche, Jimmy Heck","","",2013,"13+","115 min","Comedy, Drama, LGBTQ","The Petunia family is on the verge of a nervous breakdown. This is the story of how they pick up the pieces. A hilariously dark comedy about a dysfunctional family of New Yorkers coming to terms with their own misgivings about life, relationships, and the unpredictability of love."
"Pete Correale: Let Me Tell Ya","John Asher","Pete Correale","","",2015,"18+","63 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Pete Correale has returned to tell ya about the absurdities of life, love and marriage in his all new one-hour special, Let Me Tell Ya."
"Penguin (Telugu)","Eashvar Karthic","Keerthy Suresh, Linga, Madhampatty Rangaraj, Master Advaith, Mathi","","",2020,"18+","132 min","Drama, Suspense","Rhythm, leading a happy life and about to have her second child, is traumatized by the nightmares in which she sees an umbrella man harming her lost son. She sets off on a dangerous journey, along with her trained dog, to unravel the secrets behind the nightmares and to protect her loved ones."
"Penguin (Tamil)","Eashvar Karthic","Keerthy Suresh, Linga, Madhampatty Rangaraj, Master Advaith, Mathi","","",2020,"16+","132 min","Drama, Suspense","Rhythm, leading a happy life and about to have her second child, is traumatized by the nightmares in which she sees an umbrella man harming her lost son. She sets off on a dangerous journey, along with her trained dog, to unravel the secrets behind the nightmares and to protect her loved ones."
"Peculiar Pets","Adrian Cale","Natalie Casey","","",2016,"13+","48 min","Documentary, Special Interest","In this documentary, we meet the families whom owning a cat, dog or goldfish simply won't do. Their lovable pets can seriously injure or even kill their owners. We will meet the eccentric pet owners who share their homes with everything from Komodo Dragons to Iberian Lynxes and treat these animals as members of their own families."
"Pearl","Bobby Roth","Anthony LaPaglia, Sarah Carter, Barbara Williams","","",2020,"16+","93 min","Drama","Pearl is a brilliant sixteen year-old girl, traumatized by the sudden death of her adoring mother, who now must move in with Jack, the father she never knew. He's a misanthrope who has lost his will to live: not what the teenager wants or needs at this moment of crisis. Though both resist this new kinship, they find salvation in the improbable but beautiful odyssey of coming to love one another."
"Pay The Ghost","Uli Edel","Nicolas Cage, Sarah Wayne Callies","","",2015,"16+","94 min","Action, Science Fiction","One year after his young son disappeared during a Halloween carnival, Mike Lawford (Nicolas Cage) will stop at nothing to unravel the mystery of the kidnapping and find his son."
"Paul Rodriguez: The Here and Wow","Gil Cunha","Paul Rodriguez","","",2018,"18+","76 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Veteran comedian, Paul Rodriguez hits the stage to give you his perspectives on life. From being peer pressured into believing in God to claiming to be the village idiot, Paul will make you sit back and laugh!"
"Pattas (Tamil)","R.S Durai Senthilkumar","Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra, Naser, Munishkanth, Sathish","","",2020,"ALL","140 min","Action, Drama","An ancient Martial art form of Tamilnadu is in the verge of extinction. The hero wants to make it popular yet again among the current generation showcasing it's rich values & merits. Will the hero be able to accomplish his desire?"
"Passport to the World: Route 66","Nicolas Breton","Donna Bouche","","",2019,"13+","64 min","Documentary, Special Interest","The United States is home to a highway that has captured imaginations for nearly a century. This mythical route is part of American folklore, even of the great American dream. Its name is Route 66!"
"Pass Over","Spike Lee","Jon Michael Hill, Julian Parker, Ryan Hallahan, Blake Delong","United States","",2018,"18+","75 min","Drama","Academy Award nominee and Honorary Oscar winning Spike Lee captures the poetry, humor and humanity of this urgent and timely play about two young black men talking shit, passing the time, and dreaming of the promised land. A provocative riff on Waiting for Godot, PASS OVER by newcomer Antoinette Nwandu."
"Pari","Prosit Roy","Anushka Sharma Kohli, Parambrata Chatterjee, Rajat Kapoor, Ritabhari Chakraborty","India","",2018,"18+","134 min","Horror, International","Pari is a supernatural horror film in which a man attempts to help a woman named Ruksana, an abuse victim, who he found chained up in a hut."
"Paper Planes","Robert Connolly","Sam Worthington, Ed Oxenbould, Deborah Mailman","","",2015,"7+","97 min","Drama, Kids","An imaginative children's film about a young Australian boy's passion for flight and his challenge to compete in the World Paper Plane Championships in Japan."
"Pantani: The Accidental Death of a Cyclist","James Erskine","Andrea Gambadoro, Conan Sweeny","","",2014,"13+","96 min","Documentary, Sports","The unique and compelling story of one man taking on the mountains, an athlete's battle against addiction, set against the dramatic background of the Alps during the Tour de France, Pantani: The Accidental Death of a Cyclist is the tragic tale of Marco Pantani versus himself."
"Pagalpanti","Anees Bazmee","Anil Kapoor, John Abraham, Ileana D’Cruz, Urvashi Rautela, Arshad Warsi, Kriti Kharbanda, Pulkit Samrat, Saurabh Shukla","India","",2019,"13+","149 min","Action, Comedy","3 men, considered as losers in their lives by the people, plan to get rich along with their girlfriends by fooling 2 gangsters and robbing their money."
"Padmaavat","Sanjay Leela Bhansali","Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari, Jim Sarbh, Anupriya Goenka, Raza Murad","India","",2018,"13+","163 min","Drama, Historical, International","Set in 1303 AD medieval India, Padmaavat is the story of honor, valor and obsession. Queen Padmavati is known for her exceptional beauty along with a strong sense of justice and is the wife of Maharawal Ratan Singh and pride of the Kingdom of Chittor, a prosperous kingdom in the north west of India. The legend of her beauty reaches the reigning sultan of Hindustan – Allaudin Khilji."
"Paddle to the Ocean","Zac Crouse","","","",2013,"ALL","61 min","Special Interest, Sports","Musician Zac Crouse begins his 82-day sea kayak journey from the Ottawa Valley back home to Halifax, Nova Scotia. Crouse paddles through class IV rapids and tidal bores, down four major rivers and across the Bay of Fundy while touring his new solo album. Zac will be filming Paddle to the Ocean with the help of professional white-water kayaker/documentary film-maker Kelsey Thompson."
"OUT On Stage (The Movie)","Samuel Brownfield","Zach Noe Towers, Jonathan Rowell, A.B. Cassidy, Casey Ley, Julian Michael, Chris Bryant, Eric Hahn, Janine Brito, Jared Goldstein, Brendan Scannell, Kyle Shire, Jordan Pease, Irene Tu, Raineir Pollard, Daniel Webb, Anthony Desamto, Gloria Bigelow, Joe Dosch","","",2018,"18+","82 min","Arts, Entertainment, and Culture, Comedy","OUT On Stage is THE absolutely hilarious and one of a kind, originally produced comedy hosted by Zach Noe Towers! See OUT Magazine's '1 of the 10 comedians to watch in 2018,' the comedian that Sarah Silverman calls, 'So, SO, SO Funny' and 17 other top rated Gay and Lesbian stand-up comedians discuss taboo subjects as only they can!"
"One-Minute Anxiety Meditation","","Donna D' Cruz","","",2020,"ALL","1 min","Special Interest","A guided meditation to help you overcome anxiety in your life. Guided by Donna D' Cruz."
"One Small Hitch","John Burgess","Shane McRae, Aubrey Dollar, Daniel J. Travanti, Janet Ulrich Brooks","","",2015,"13+","105 min","Comedy, Drama","On a flight home to Chicago for a family wedding, childhood friends Josh and Molly agree to fake an engagement for Josh's dying father. Things get crazy when their two boisterous families collide and cause them to start planning a phony wedding."
"One Last Christmas","Henderson Maddox","Tracey Bonner, Javon Johnson, Jaquay Wilkerson, Stephen Barrington, Stevie Darnell, Javarious Conway, Alonzo Frizon, Kenneth Mathews, Jared Christopher Stevenson, Jackson Ford, Kevin Willingham, Chances Ford, David Brunner, Laura Poindexter, Lando King, Precious Dixon, Auvie Lorraine, Karina Cherry, Korinny Sanchez, Sharon Barathwaite, Keller Fornes, Terrell Riley, Kerri Pettey, TeAnna Williams, Brian Duckson, Sierra Williams","","",2019,"18+","159 min","Drama, LGBTQ","Five adopted brothers come home to tend to their mothers illness and give her the best Christmas she can imagine."
"One Hour of Soothing Sights and Sounds","Mark Knight","","","",2019,"ALL","60 min","Documentary, Special Interest","Relaxing and engaging videos from Sharecare Windows journeys around the planet. Relax to sights including the Chinese Ice Festival, desert windmills, lighthouses, butterflies and flowers, Venice gondolas, swimming with fish and other relaxing sights from around the world."
"One Great Love","Eric Quizon","Dennis Trillo, Kim Chiu, JC de Vera, Eric Quizon","","",2018,"13+","113 min","Drama","The story revolves around Zyra Paez, whose relationship with Carl Mauricio has failed. She decides to give their relationship one more try, but soon finds herself filled with doubt over her life choices. The situation gets even more complex when she meets and befriends Ian Arcano, a heart doctor who later becomes her confidante, leaving her trying to decide whether he may be ""the one""."
"Once a Marine","Stephen Canty","","","",2020,"16+","69 min","Action, Documentary","ONCE A MARINE (DOCUMENTARY, 2020) Marine combat veterans of the War in Afghanistan battle demons after returning home and discuss what they endured - candidly revealing the unfiltered and corrosive truth about combat, civilian life afterwards, and the psychological toll of fighting in America's longest war."
"On the Trail of Bigfoot: The Search","Seth Breedlove","Brian Brown, Darryl Colyer, Loren Coleman","","",2020,"13+","85 min","Documentary","Documentarian, Seth Breedlove joins groups like The North American Wood Ape Conservancy, and The Ohio Night Stalkers as they seek evidence of the creature's existence."
"On Putin's Blacklist","Boris Ivanov","Michael McFaul, Masha Gessen, Ilya Ponamarev, Justin Romanov, Masha Alyokhina","","",2018,"13+","73 min","Documentary, Special Interest","Defenseless orphans were among the first to suffer from Putin's anti-Western rhetoric. The Kremlin's hit list then expanded to include the LGTBQ community. This ripped-from-the-headlines documentary explores all those on Putin's blacklist."
"Omaha Beach: Honor and Sacrifice","Tim Gray","Tim McCarver","","",2015,"13+","55 min","Documentary","shows the very personal stories of several veterans as they return to Omaha Beach and documents the celebration in Normandy that continues to this day as a result of their acts of courage and determination on June 6, 1944."
"Of Two Minds","Lisa Klein, Doug Blush","Terri Cheney, Carlton Davis, Cheri Keating","","",2013,"13+","90 min","Documentary","Of Two Minds is an award-winning feature documentary that explores the extraordinary lives, struggles and successes of a few of the over five million Americans living with bipolar disorder. It puts a human face on the topic, providing an intimate, sometimes painful, sometimes painfully funny, look at those who live in its shadows: our parents and children, our friends and lovers...and ourselves."
"Odeya (4K UHD)","M.D. Sridhar","Darshan, Sanah Thimmayyah, Yashas Surya","India","",2019,"13+","162 min","Drama, International","Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements."
"Oddbods - Halloween Special","Simon Pike","The Oddbods, Nadia Ramlee, Chio Su Ping, Jeremy Linn, Marlon Dance-Hooi","","",2018,"ALL","32 min","Animation, Comedy, Kids","Enjoy the craziness of our cute little oddbods on this special Halloween episode! Come along as they trick or treat and celebrate Halloween by dressing up in their favorite costumes, including ghosts, mummies, and so much more! It is a magic filled special full of scary surprises, pranks, and of course laughs. This spooky fun adventure is perfect to get in that Halloween spirit."
"Odd Thomas","Stephen Sommers","Willem Dafoe, Anton Yelchin, Nico Tortorella, Patton Oswalt, Addison Timlin","","",2014,"16+","97 min","Suspense","In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces."
"Odd Squad: Odds and Ends","J.J. Johnson","Anna Cathcart, Isaac Kragten, Millie Davis, Olivia Presti","","",2019,"7+","47 min","Kids","A string of break-ins at headquarters leads to a revelation about Otis’s past that could change the history of Odd Squad...and the world! Then, the agents team up to try to put things right again one last time in this one-hour event."
"Nursery Rhymes Volume 9 by Little Baby Bum - Party Time","Cannis Holder","Grace Tamayo, Erin Webbs","","",2018,"ALL","47 min","Kids","More wonderful videos starting with famous nursery rhymes such as 'Heads Shoulders Knees and Toes' from the world's number one educational channel, Little Baby Bum!"
"Nursery Rhymes Volume 8 by Little Baby Bum - Lullabies","Cannis Holder","","","",2018,"ALL","53 min","Kids","Get your kids ready for bed with our exclusive 'Lullabies' volume brought to you by Little Baby Bum!"
"Nursery Rhymes Volume 6 by Little Baby Bum","Cannis Holder","Grace Tamayo, Erin Webbs","","",2016,"ALL","49 min","Kids","Starting with Wheels On The Bus Part 11, this video is a compilation of popular nursery rhymes like Three Blind Mice and Down By The Bay, and many other original kids songs from LittleBabyBum"
"Nursery Rhymes Volume 4 by Little Baby Bum","Cannis Holder","Mia, Jacus","","",2015,"ALL","53 min","Kids","More fabulous nursery rhyme videos and song from Little Baby Bum! This collection includes: Zoo Song, Farmer In The Dell, Ants Go Marching, Wheels On The Bus - part 8, Hello Song, 5 Little Monsters, Twinkle Twinkle Little Star - part 4, Jack and Jill, Teddy Bear Teddy Bear and many more!"
"Nursery Rhymes Volume 3 by Little Baby Bum","Cannis Holder","Baby Panda, Cow","","",2015,"ALL","46 min","Animation, Kids","More wonderful nursery rhyme videos from the world's number one educational channel, Little Baby Bum!"
"Nursery Rhymes Volume 12 by Little Baby Bum - ABC 123 Learning","Cannis Holder","Grace Tamayo, Erin Webbs","","",2018,"ALL","39 min","Kids","A compilation with original LittleBabyBum educational songs, like ABCs In Outer Space, 12345 I Caught a Fish Alive, 10 Little Fingers and many more!"
"Nursery Rhymes Volume 10 by Little Baby Bum - Vehicles","Cannis Holder","Grace Tamayo, Erin Webbs","","",2018,"ALL","49 min","Kids","Little Baby Bum is proud to present this compilation focusing on vehicles!"
"Nursery Rhymes by KiiYii Vol 3 - Learning (Made By Little Baby Bum!)","Derek Holder, Cannis Holder","","","",2018,"ALL","50 min","Kids","A compilation with original KiiYii educational songs, like 5 Little Monkeys, Aeiou The Vowels, Finger Family and many more!"
"Nursery Rhymes by KiiYii (Made by Little Baby Bum!)","","Kii, Yii","","",2018,"ALL","67 min","Animation, Kids","A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!"
"Nursery Rhymes - Mother Goose Club: Learn to Rhyme!","John Hussey","Aidan Call, Cayden Campbell, Dyson Campbell","","",2013,"ALL","33 min","Kids","Mother Goose Club characters will have kids giggling, clapping and dancing their way to learning words and sounds in over 30 minutes of uninterrupted nursery rhyme fun. Five 5-minute segments feature sing-a-longs, storytelling and lots of rhymes!"
"Nursery Rhymes - Mother Goose Club Playhouse presents Rhyme With Us!","Sona Jho","Mother Goose Club","","",2015,"ALL","41 min","Kids, Music Videos and Concerts","Filled with nursery rhymes and baby songs featuring real-life kids being kids. Your little one will love singing songs, telling jokes, reciting rhymes and playing pretend with their friends from Mother Goose Club Playhouse. Featuring classic nursery rhymes like ""The Wheels on the Bus"", ""Old MacDonald Had a Farm"" and ""Pat-A-Cake"", your child is sure to have a blast!"
"Nursery Rhymes - Jump Up and Rhyme With Mother Goose Club","John Hussey","Mother Goose Club","","",2015,"ALL","39 min","Kids, Music Videos and Concerts","This preschool song and kid video collection is packed with nursery rhymes! Your children will adore this high-energy compilation of 20 baby videos from Mother Goose Club. They'll chomp chomp chomp along with ""Dinosaur Stomp"", bounce around to ""The Bunny Hop"" and honk their horns to the hit Mother Goose Club original song ""Driving in My Car""!"
"Nursery Rhyme Cartoons from Mother Goose Club","Sona Jho","Mother Goose Club","","",2016,"ALL","103 min","Kids","Explore with the Mother Goose Club in this collection of preschool animations for kids and babies as we meet an eight-legged friend in ""Itsy Bitsy Spider"", rocket around the solar system in ""Eight Planets"", score a goal in ""Football Rocker"", travel through time in ""Dinosaur Stomp"" and so much more!"
"Notebook","Nitin Kakkar","Zahir Iqbal, Pranutan Bahl","India","",2019,"ALL","112 min","Drama, International, Romance","Kabir comes to Kashmir to be a school teacher. The school is situated in the middle of the remote Wuller lake, lacking basic amenities and attended by just a handful of students. At the school Kabir finds a notebook left behind by the previous year's teacher Firdaus and that changes his entire life. Happy and heart-warming Notebook is about two people finding love in the most unexpected way."
"NOTA","Anand Shankar","Vijay Devarakonda, Mehreen Peerzad","","",2018,"16+","144 min","Drama, International, Suspense","Varun (Vijay Devarakonda) is forced to become the CM of Tamil Nadu when his father (Nasser) is imprisoned and loses his CM chair. He is an easy going youth who stays the same even after becoming the CM until he realizes his responsibilities and power and decides to change the society and politics with the support of his advisor Mahendran (Sathyaraj)."
"Northern Borders","Jay Craven","Bruce Dern, Genevieve Bjuold, Seamus Davey-Fitzpatrick","","",2015,"13+","109 min","Drama","Starring Academy Award Nominee Bruce Dern. When a young boy is sent to live on his grandparents' Vermont farm, he uncovers long-festering family secrets. Now, trapped in a household on a remote farm, Austen must plan his escape."
"No Turning Back","Danny Phillips","Caroline Muller, Grace Goulter, Joseph Wycoff, Kelaan Schoffel-Armstrong","","",2020,"16+","91 min","Drama, Science Fiction","An avionics engineer is shortlisted to join one of the first expeditions to Mars. Now, he has to break the news to his wife and children that this will be a one way trip."
"No Place to Hide: The Rehtaeh Parsons Story","Rama Rau","","Canada","",2015,"13+","48 min","Documentary, Special Interest","Rehtaeh Parsons, a 15 year old student from Nova Scotia, was raped by four schoolboys while drunk at a sleepover. A photo of her rape soon began circulating online. Through the eyes of her parents, this film re-examines these alarming events, which ultimately led to Rehtaeh's suicide. A shocking testament to police indifference, the stigma of sexual assault and the effects of cyber bullying."
"Nishabdham (Telugu) (4K UHD)","Hemant Madhukar","Anushka Shetty, Madhavan, Anjali, Michael Madsen","","",2020,"16+","126 min","Suspense","A murder-mystery thriller. A world-famous cello player is murdered and crucified in a Seattle Villa that has a reputation for being haunted. His friends and family try to figure out if he was really killed by a supernatural being or if he was assassinated by someone he knows. His dumb and deaf wife and a police detective are pinned against each other as they discover the victim's dark past."
"Nishabdham (Telugu)","Hemant Madhukar","Anushka Shetty, Madhavan, Anjali, Michael Madsen","","",2020,"16+","126 min","Suspense","A murder-mystery thriller. A world-famous cello player is murdered and crucified in a Seattle Villa that has a reputation for being haunted. His friends and family try to figure out if he was really killed by a supernatural being or if he was assassinated by someone he knows. His dumb and deaf wife and a police detective are pinned against each other as they discover the victim's dark past."
"Night at High Noon and the Wonder Gate (Subbed)","Shinpei Miyashita","Tomo Muranaka, Momoko Tanabe, Nao Nagasawa, Tadashi Miyazawa, Yutaka Aoyama, Takeshi Kaga","","",2016,"ALL","52 min","Anime, Kids","The search for Sana’s comrades continues. Sara who opens up her heart to Sinbad reveals her horrible story of how her father’s apprentice Galip destroyed the peaceful kingdom and her family by using the wizardly power. Suddenly the Magic Lamp shows the passage “to the Wonder Gate to the land of ancestors that appears in the Night at High Noon,” but Galip’s solders block their path."
"Night at High Noon and the Wonder Gate (Dubbed)","Shinpei Miyashita","Michael Adamthwaite, Yutaka Aoyama, Michael Dobson","","",2016,"7+","52 min","Anime, Kids","The search for Sana’s comrades continues. Sara who opens up her heart to Sinbad reveals her horrible story of how her father’s apprentice Galip destroyed the peaceful kingdom and her family by using the wizardly power. Suddenly the Magic Lamp shows the passage “to the Wonder Gate to the land of ancestors that appears in the Night at High Noon,” but Galip’s solders block their path."
"Nicole Blaine: Life's A Bit","Mickey Blaine","Nicole Blaine, Mickey Blaine, Tegan Blaine, Finnley Blaine","","",2020,"18+","45 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Nicole Blaine, a thirty-something mother of two, follows her dream of being a stand-up comedian - by turning her daily motherhood fails into comedy bits on the stage. In this original stand-up comedy special, Nicole Blaine bribes her own real-life-children and husband to play the parts that they inspired for her jokes. They all suck so she has great material. After all, Life's a Bit*%"
"Nick Thune: Folk Hero","Nick Thune","Nick Thune","","",2014,"18+","43 min","Arts, Entertainment, and Culture, Comedy, Special Interest","With help from his guitars, comedian Nick Thune regales the audience of Brooklyn's Bell Theatre with a collection of hilarious stories about his childhood, past romantic relationships and his experience with a burning building."
"Nick Griffin: Cheer Up","Scott Moran","Nick Griffin","","",2019,"18+","56 min","Arts, Entertainment, and Culture, Comedy, Special Interest","New York is an amazing town with tons of very cool things to do. Nick Griffin doesn't do any of them, but he likes knowing they're there. The only thing that really matters to Nick is his show. Which is tonight at the Comedy Cellar."
"Nick Cannon: F--k Nick Cannon","Jay Chapman","Nick Cannon","","",2013,"18+","97 min","Arts, Entertainment, and Culture, Comedy, Special Interest","In his follow up to his tremendously successful debut comedy special 'Mr. Showbiz,' the comic-actor-musician-host responds to anyone who's ever said: 'F#ck Nick Cannon.' A recent health scare has changed how he sees the world and he is here to share his unique perspective on getting older, raising his children, and living with his famous wife (Mariah Carey)."
"NGK","K. Selvaraghavan","Suriya, Sai Pallavi, Rakul Preet Singh","India","",2019,"ALL","147 min","Drama","Suriya plays the title role Nandha Gopalan Kumaran, who has completed M.Tech, Ph.D doing organic farming for his living and do social work without any returns, leaving the corporate job, living a happy life with his parents and wife Sai Pallavi. At one point of time, opposition party's Bala Singh induces the idea of joining him in politics and circumstances led him to join the party too."
"Neeti Palta - Almost Sanskari","Nenshad H. Karbhari","Neeti Palta","India","",2019,"18+","58 min","Comedy","Come and laugh at the complicated inner workings of a comedian's mind as she shares a very personal journey from childhood to never growing up. From her not-strictly-traditional upbringing by her mom and army dad to buying condoms for her older brother, arranged marriages to society's expectations from her that she gleefully fails to meet."
"Nazi Quest for the Holy Grail","Tom Barbor-Might","","","",2013,"16+","44 min","Documentary","In the final days of the Second World War, American troops discovered a vast hoard of mysterious Nazi files hidden in a cave in Southern Germany. Buried deep in these secret documents were the details of one of the Third Reichs most shadowy projects: the hunt to discover the lost Aryan civilization from which the Nazis believed they had descended."
"Nawabzaade","Jayesh Pradhan","Raghav Juyal, Dharmesh Yelande, Punit Pathak, Isha Rikhi, Sanjeeda Sheikh","India","",2018,"13+","110 min","Comedy, International","Three best friends fall in love with the same girl and fight among themselves to win her affections. But, they soon realize that their beloved is much more than her exterior of a simple girl."
"National Parks Exploration Series: Yellowstone","Ron Meyer","","","",2013,"ALL","69 min","Documentary, Special Interest","Discover the mystery and wonder of Yellowstone National Park through in-depth interviews with park rangers and aerial and ground tours."
"Narco Soldiers","Felix Limardo","Rafael Amaya, Carolina Guerra, Octavio Pizano","","",2020,"18+","98 min","Action, Suspense","A foot soldier in a Caribbean drug gang and his lover rise to power by sparking a turf war between foreign cartels, but when the cartels come for revenge, they find that a fast way to riches and power may also be a quick way to end up dead."
"Nani's Gang Leader","Vikram Kumar","Nani, Priyanka Arul Mohan","","",2019,"13+","155 min","Drama, International","Gang Leader follows the story of an all-women gang led by Nani who is a crime fiction writer with a pen name 'Pencil'."
"Nadigaiyar Thilagam (Tamil)","Nag Ashwin","Keerthi Suresh, Samantha Akkineni, Dulquer Salman, Vijay Devarakonda, Chay Akkineni, Rajendra Prasad, Srinivas Avasarala, Mohan Babu, Krish, Tharun Bhascker Dhaassya","","",2018,"ALL","167 min","Drama","Nadigaiyar Thilagam is a film about the rise of the first female south Indian superstar - Savitri. Her story one of the most heart wrenching romantic tragedies of our times.This film tells a story of the Mahanati; her life, her journey to fame, and the dramatic downfall. Keerthy Suresh, elegantly brought Savitri to life, and Gemini Ganesan, played by Dulquer Salman, makes this film a true pleasure to watch."
"Myq Kaplan: Small, Dork and Handsome","Jay Chapman","Myq Kaplan","","",2014,"18+","66 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Wise guy Myq Kaplan is Small, Dork and Handsome. The might of Myq's manic comedy machine is sure to stupefy and amuse as he describes his skewed spin on the oddities of life. Filmed live in Boston."
"My Name Was Bette: The Life and Death of an Alcoholic","Sherri L. VandenAkker","Bette VandenAkker, Sherri VandenAkker","","",2014,"16+","60 min","Documentary, Special Interest","A documentary about women's alcoholism chronicles the progression of the disease in Bette VandenAkker-a nurse, wife, and mother-who died in the fall of 2007."
"My Name is Salt","Farida Pacha","","Switzerland, India","",2013,"ALL","92 min","Arts, Entertainment, and Culture, Documentary, Special Interest","Year after year, just after the monsoon season has finished, thousands of families travel to a bleak desert in Gujerat, India, where they will stay for an endless eight months and extract salt from the earth, using the same painstaking, manual techniques as generations before them. Director Farida Pacha spent a season with one of these families, observing the very particular rhythms of their lives"
"My Little Red Bus Adventures","Nick Hatton Jones, Richard Hickey","","","",2019,"ALL","15 min","Kids","Enjoy this exciting adventure with My lIttle Red Bus. Watch the Red Bus as he gets stuck in the mud, has a wash and even gets trapped in a storm! This video is brought to you by the creators of Little Baby Bum, one of the most popular nursery rhyme brands in the UK."
"My Dog Stupid","Yvan Attal","Yvan Attal, Charlotte Gainsbourg, Eric Ruf, Pascale Arbillot, Ben Attal","","",2019,"18+","106 min","Comedy","Henri is a middle-aged writer in crisis. Just at a time when he assesses of his life, an enormous gray dog, impolite and smelly, sneaks into Henri's house."
"My Client's Wife","Prabhakar Meena Bhaskar Pant","Sharib Hashmi, Anjali Patil, Vishal Om Prakash, Gireesh Sahdev, Mazher Sayed, Depesh Shah, Abhimanyu Singh","","",2021,"18+","100 min","Drama, Suspense","Manas Verma, a lawyer, is defending Raghuram Singh who is accused of assaulting his wife. However, Raghuram claims that he is being framed. Verma then decides to get to the bottom of his client's case and uncover a shocking truth."
"My Best Friend","Martín Deus","Angelo Mutti Spinetta, Lautaro Rodríguez, Mariana Anghileri, Guillermo Pfening","","",2018,"16+","92 min","Drama, LGBTQ","Lorenzo, is a quiet teen living in a small town. His father decides to host Caito, the son of a friend, for a while. As the boys spend more time together, their friendship is evolving towards deeper feelings. Then Caito reveals a secret..."
"Mumbai Pune Mumbai 3","Satish Rajwade","Swapnil Joshi, Mukta Barve, Prashant Damle, Mangal Kenkre, Vijay Kenkre, Savita Prabhune","India","",2018,"13+","139 min","Comedy, Drama, International","They fell in love in the first part got married in the second and now its time to extend this most loved family. Gautam and Gauri are expectant parents and the film unfolds this journey of today's couple who will walk this path towards parenthood."
"Mulligans","Chip Hale","Charlie David, Dan Payne, Thea Gill, Derek Baynham, Grace Vukovic, Calum Worthy, Amy Matysio","","",2020,"18+","90 min","Drama","When two college buddies go home for the summer, Tyler's father finds himself irresistibly attracted to Chase. As the family discovers the scandalous affair the question remains - does their father deserve a second chance?"
